E	m	left_error	right_error
1.0	0.0	0.0	3.688879454109044e-08
1.2589254117941673	0.0	0.0	3.688879454109044e-08
1.5848931924611136	0.0	0.0	3.688879454109044e-08
1.9952623149688797	0.0	0.0	3.688879454109044e-08
2.51188643150958	0.0	0.0	3.688879454109044e-08
3.1622776601683795	0.0	0.0	3.688879454109044e-08
3.981071705534973	0.0	0.0	3.688879454109044e-08
5.011872336272724	3e-08	1.7577907214560335e-08	5.2246876677237316e-08
6.309573444801933	6e-08	3.376513609881548e-08	6.668332079322667e-08
7.943282347242816	1.2e-06	1.0954451150103323e-07	1.0954451150103323e-07
10.0	8e-06	8.94427190999916e-07	8.94427190999916e-07
12.589254117941675	3.74e-05	1.9339079605813715e-06	1.9339079605813715e-06
15.848931924611142	0.0001545	3.9293765408777e-06	3.9293765408777e-06
19.952623149688797	0.0004209	6.487680633323437e-06	6.487680633323437e-06
25.11886431509581	0.00108	1.0392304845413264e-05	1.0392304845413264e-05
31.622776601683793	0.00258	1.6062378404209012e-05	1.6062378404209012e-05
39.810717055349734	0.00586	2.420743687382041e-05	2.420743687382041e-05
50.11872336272725	0.01262	3.552463933666322e-05	3.552463933666322e-05
63.09573444801933	0.02552	5.051732376126035e-05	5.051732376126035e-05
79.43282347242817	0.04859	6.97065276713738e-05	6.97065276713738e-05
100.0	0.08218	9.065318527222306e-05	9.065318527222306e-05
125.89254117941675	0.13773	0.00011735842534730944	0.00011735842534730944
158.48931924611142	0.21935	0.00014810469270080538	0.00014810469270080538
199.52623149688807	0.33508	0.00018305190520723897	0.00018305190520723897
251.18864315095823	0.49256	0.0002219369279772972	0.0002219369279772972
316.22776601683796	0.70111	0.00026478481829591367	0.00026478481829591367
398.1071705534973	0.97094	0.0003115991014107711	0.0003115991014107711
501.18723362727246	1.31235	0.000362263702294337	0.000362263702294337
630.9573444801937	1.73731	0.00041681050850476406	0.00041681050850476406
794.3282347242822	2.26111	0.000475511303756283	0.000475511303756283
1000.0	2.89723	0.0017021251422853728	0.0017021251422853728
1258.9254117941675	3.66798	0.0019151971177923173	0.0019151971177923173
1584.893192461114	4.58626	0.0021415555094370076	0.0021415555094370076
1995.262314968881	5.68367	0.002384044882127851	0.002384044882127851
2511.886431509582	6.99633	0.0026450576553262504	0.0026450576553262504
3162.2776601683795	8.5617	0.0029260382772615945	0.0029260382772615945
3981.0717055349733	10.4287	0.0032293497797544323	0.0032293497797544323
5011.872336272725	12.6823	0.0035612217004842594	0.0035612217004842594
6309.573444801937	15.3624	0.003919489762711468	0.003919489762711468
7943.282347242822	18.6135	0.004314336565452445	0.004314336565452445
10000.0	22.5336	0.004746956919964621	0.004746956919964621
