Cluster,Cluster Method Theta,DB Theta,Cluster Method Phi,DB Phi,angles
                   9,  22.246948032684205,   21.73485649830693,     26.604127250524,  15.822314525922035,   4.064357806556568
                   9,   36.22207375341096,   32.18884658159117,  143.01043541638614,  145.90651597074333,   4.348440427167115
                   9,   18.62723066348316,   17.47776043298926,  172.48281952778729,  185.13491966728057,   4.077011739435074
                   9,   21.57709280351471,  24.680929264294893,  306.56801023059546,  302.35448403877973,  3.5157329881487653
                   9,   32.34594418876228,  30.998931770079217,  39.278453467389504,   30.15788476616705,   4.970235086776444
                   9,   61.90810965438211,   74.37044407770642,   312.9907709740943,   311.0767255064692,  12.587568764547948
                   9,   22.96481072526951,  17.739621689364583,  107.13347098945806,  105.99811283605798,  5.2398520856084945
                   9,   15.32418480704077,  16.888349741165076,  205.96899206851865,   216.5436111859866,  3.3181949931895054
                   9,  13.247872694764771,   14.60718746370154,   3.744948711213311,  347.70160484107066,   4.078361952513966
                   9,   11.57270809729096,   10.89247209045677,  174.70932755163898,   195.4011298269148,   4.065056706233657
                   9,  20.146520014938258,  22.512579351486394,   346.5302218128933,  337.10194182175513,   4.159477955359318
                   9,   38.14788877855441,  34.063230861819726,    71.1899055471585,    67.2186435370953,   4.705737524260674
                   9,   42.66926299834489,   42.84107899020654,   4.747206819714078,  359.91207381039555,   3.286375963612316
                   9,  15.594507187559794,   12.94887433324928,    159.626912324781,   170.6311172524618,  3.7782843318772525
                   9,  20.459599881075903,   23.40276941032688,   232.2010465485427,  240.32133380596727,   4.219938233813316
                   9,  30.220779456184506,  27.544505434616227,  155.63629107470405,  162.49619013162575,   4.255545314441191
                   9,   8.967533699405035,  11.480996170979616,   226.4569949409263,   238.7916354279484,  3.3198984513023606
                   9,   27.88095591603502,  28.343137545108164,   195.7041867280164,  204.29892092884765,  4.0730423427721005
                   9,   30.54510634949514,   30.41846726243164,     202.93663669903,  210.28968643513096,  3.7301821290167965
                   9,   41.62488643981113,   43.49459824062121,   357.6589248888355,    351.995216553783,   4.261179251619115
                   9,  13.784842416751568,  10.084317649886982,   129.7981293631393,   133.9682811122357,  3.7973182764939564
                   9,  46.424622875712544,   44.18717318334264,  153.32146473041098,  157.35810169666448,  3.6379374191060925
                   9,   41.20388331412973,   36.80129515395853,   74.05922825159911,   70.63529628287596,   4.900272958596317
                   9,   34.69157563750781,   31.38951536552761,   59.22455420231858,   51.76695737464237,     5.2329285673542
                   9,  22.624988514733214,  26.930363321071773,  266.27778275704486,   269.0718895989005,   4.460666892678786
                   9,  18.473543310335653,   18.99606375585087,   210.1726023409148,  221.70209154830863,  3.7339279252533895
                   9,  41.902413396215934,   39.48204566432511,   44.29638919967014,   38.75676618400605,   4.345997670157517
                   9,   61.96807629868714,   59.16945706339517,  182.01548638895216,  187.44626293605532,   5.494688983679923
                   9,  30.000170798179543,   33.67178068420125,  345.76149177129474,    338.490931411697,    5.30382957898043
                   9,   35.10351392851924,   33.98514738000165,   190.8062911145254,  197.17542253822717,  3.7791633718296604
                   9,     9.1299391921751,  13.225276821580405,   295.5188454740654,   292.0882941046015,   4.147198089338065
                   9,   35.16611823568029,   30.75494933526796,  149.31887690921468,    155.277059059249,   5.469697503560037
                   9,   23.70915663711559,  25.506500131457965,  213.38916767816207,  222.35798299275808,   4.139699420636573
                   9,  11.694753718851082,  14.569004186206746,    310.120343019354,  302.44441355779014,  3.3559655176250596
                   9,   37.16344191322768,  35.535825044058406,    52.2903008059354,   46.42401032669176,   3.837526056826368
                   9,   32.87466824796587,  32.240093467670846,  16.860334643384753,  10.844567479307337,   3.297783765921526
                   9,   16.72813429099155,   17.88400326665285,  5.4352843135975215,    352.249708783089,   4.079557242513996
                   9,  27.854860066258933,  23.384752105788824,   109.1860946611652,  110.03210153887504,   4.484944508230752
                   9,  23.971873121173584,  22.094568172186708,  176.57286730053457,  185.01332093259495,  3.7942873962008328
                   9,   20.17907026852183,  16.095548732742024,  119.35177735329002,  123.12434935612772,   4.246995188909722
                   9,  27.552159904355776,  31.947082017265952,   261.9983106740665,   264.9296177212627,   4.628188505576455
                   9,   18.89549610199397,   14.40918950342694,    109.034599579155,  115.38098775603146,   4.834560852064097
                   9,   35.31816845616266,   38.68693345228598,   232.8942343101736,  237.99847652527365,  4.5568241563061145
                   9,  36.261322623548295,   34.73470043811082,  173.12097421729345,   179.7792086392027,   4.154678904147191
                   9,  12.175333408507754,  12.607366388847014,  18.049466998201748,   359.1325718828868,    4.06418540442532
                   9,   37.34470424901961,   33.46698802006345,   64.52296899715942,   58.02373738485715,   5.400689688767675
                   9,   48.91727873713661,  50.797829829017175,  208.91986957395716,   214.0112781752835,  4.3216297511844175
                   9,   52.64197202576707,   58.20874231779065,   343.8961242411144,   339.2709046475396,  6.7425683790568955
                   9,   78.07695409099782,   68.67687505805647,   151.0141376032828,  154.17714031587457,   9.875271269580326
                   9,   28.48522663618557,  30.473908196935174,   353.1512390915967,   345.6598721421844,   4.185336120966624
                   9,  21.880443187018894,   23.07333578993051,   207.5671353678122,  220.17008282558987,     4.9540984505955
                   9,   27.87757745043784,   27.50920141628488,   23.50558644528275,  14.791763371585551,   4.063250567763446
                   9,  40.125977673490624,   45.01075618366231,   281.0717318330786,  282.64446583197434,   4.998979363395106
                   9,  21.185353403134258,  19.826445844174103,  183.45666322448423,   193.4652727681775,  3.7548272701646335
                   9,   56.53801766200035,    56.6776077073672,   177.2267925648067,  182.82141397197648,   4.672598055677737
                   9,  34.252737072020885,   34.98984226055224,   199.2491143890126,  206.33451019629325,   4.090583931527625
