Cluster,Cluster Method Theta,DB Theta,Cluster Method Phi,DB Phi,angles
                   2,  11.428184797611832,   10.44212515005261,   9.184489301377711,  18.813854271270515,  2.0723866430362055
                   2,   38.65999153309488,  30.425812409760848,   322.0296335770636,   323.5204238794672,   8.276907789515645
                   2,   8.618172913333904,    7.86131706371736,   13.47541153010266,   26.82924008321265,   2.052230330965743
                   2,   18.87407359805985,   19.86035614519251,    190.640561610836,   185.5050670156829,  1.9671197074386881
                   2,   64.40582827063652,   55.27024579207748,  269.92226254369734,  272.40547697046685,   9.383423921457792
                   2,  34.664757829623404,  32.213923792351984,   334.1444700284837,   335.5959587667296,   2.577896908718244
                   2,  13.248195112472724,  14.776299719624658,   86.53477675347148,   91.98676798640156,  2.0177758158845824
                   2,  59.499450260114656,   50.61715655047345,  248.72814126230656,    249.192367547324,    8.89040146862583
                   2,   36.05124282992272,    31.6829138562083,   286.7490751625782,  292.86136597314703,   5.534776582893342
                   2,   42.89922838652322,   47.26166631164205,   148.7090306780617,   153.8005354878958,   5.656826660424919
                   2,  12.726323792945731,  14.416235691322791,   94.44409771469904,   99.13698871153424,   2.015741247940769
                   2,   36.86736711048265,  30.890981353035983,  234.36850747215905,    232.685340596311,   6.049080902014883
                   2,  24.899099877138244,   22.51992082617608,  106.78472156393036,    102.706256859594,  2.8883523741393926
                   2,  15.844880073072057,    18.2027343066824,  350.48149435290634,   346.4744392603455,    2.63226459573126
                   2,   33.23235119173172,   30.96057299327338,    83.1497325497168,   91.86436618611155,  5.1525251879283145
                   2,   10.83635315446347,  10.728053497821568,     60.644541008239,   46.59183845654351,  2.6247732148975564
                   2,   51.42946919315583,  47.479387481359495,  117.53313400407124,   115.9312634247796,   4.133147965576648
                   2,  12.844596983131876,  10.773339102625208,   299.2170657352793,    297.087961222868,   2.116246736351507
                   2,   45.40764764387171,   47.99413476563758,   136.8912966102898,   136.4573399489033,     2.6056860308196
                   2,    2.10445218923319,  2.8714995274180177,  221.19964048290868,  176.76256549982452,  2.0106871974437013
                   2,  24.313447846356325,   26.60168532191091,   212.7533758058643,  198.22610491777743,   6.632141521899298
                   2,  23.193062316297443,    24.3007312771416,   70.94622566766796,   75.21415196468705,  2.0440487271397534
                   2,   23.27509338309025,  22.310793044468657,  16.316568399532105,  21.245250887258265,  2.1382599215986837
                   2,   34.47289451835982,   32.15900084395118,  284.99345267674715,   283.3341110837205,  2.4867289245463264
                   2,   33.22431926480778,   41.32467954429105,  129.25487024569742,   130.1483424794588,   8.118227825640048
                   2,   27.40585287040232,   29.49190507569807,   139.9861553809933,  139.17168965723545,  2.1217827442639936
                   2,  19.026749138602472,  19.096086646775017,   41.66552969905575,   47.94402235090747,  2.0506924245310834
                   2,  18.899982298037237,  17.395265788972107,  357.63514085774983,  2.6099613884004604,   2.158642564163296
                   2,  16.635398392627387,  17.424244594354725,   60.92853082687915,   67.31569559752673,   2.028868838821471
                   2,    35.2988544174763,   37.29333338822772,  155.47619551704318,  153.96407049390575,  2.1860045445524223
                   2,  17.262648830497795,  15.094185747511498,   304.2760259660703,    303.385971148986,   2.182536068970919
                   2,  11.299226399371069,   8.627812409436403,  154.83085908478935,  158.50217783919436,  2.7445654835022872
                   2,  22.238282481636347,   20.25340973847639,  282.87171806026964,   280.1648849056384,   2.213521427944946
                   2,  51.993582724858506,   47.73655206115343,  126.34021966583217,  125.24033092256714,    4.33916908633011
                   2,  23.779771732132364,   23.90621169842485,    50.4874697300731,   44.08557025088636,  2.5898043442091168
                   2,  63.254090506131945,   65.58449215650339,  22.627825668468333,  20.193822524882133,   3.201464027801034
                   2,   36.91585406699316,  40.362222772100814,   257.5337488329526,  251.04938736743776,   5.313410169766746
                   2,   36.06366215846224,  34.220999982571165,  201.40091852455552,   205.5015665431077,  2.9936237504155305
                   2,  21.566837976298665,  19.461228967160093,  101.01172437291764,   95.72848385231508,    2.80190059395101
                   2,  27.933272935020653,  29.931235361722603,   105.8659420019685,  107.46006157189356,  2.1414749172870637
                   2,  22.996697049736643,   21.03788442449371,  280.86283448412723,    278.085237491487,    2.21788012854677
                   2,    51.3520861872643,   52.65931748862672,  29.308124110171693,  26.352684341889677,  2.6706620269513013
                   2,    47.3558557926718,   48.56126155623061,   67.72829210158001,   70.18489377350136,    2.18651906206109
                   2,   16.98103561725442,   14.81068064699932,  320.88314161723144,   304.0950340807352,   5.061399170366689
                   2,  30.604784101270447,   29.62783261841405,   242.7073489986093,  239.04172830350043,  2.0822107208999765
                   2,  18.211463247866963,   25.23631716485853,  130.96997568760003,    131.950557862509,  7.0339898227800095
                   2,  25.855395848830653,   30.72498836016757,  37.823098965494765,   42.34249295182978,    5.31671862050399
                   2,   34.28813463722584,   26.48990602306895,  323.85105683523466,   326.0291602854355,   7.874519121813289
                   2,   17.93380030251437,   18.28727413229136,   210.1983962541167,  203.95719995869575,   1.971080964902521
                   2,  24.332808828838907,  48.184624084153626,  262.04358002103004,   163.4610587274635,   55.82815445289995
                   2,   43.42442573993793,   45.84774116003381,  108.15295913113428,  109.13296204345342,   2.519179736280782
                   2,  17.594708490436034,  20.218105064278078,  308.61195121347635,  310.33239052106217,  2.6816990814859065
                   2,   36.72913354586091,   36.21439218052882,  225.10689913464844,  229.65046484527488,  2.7489226457127325
                   2,  15.398070670042982,  13.357623411017842,  102.76891976978602,    95.4179549002682,   2.733982044872377
                   2,  30.314465548949677,   29.52952706314559,   237.5976112844064,   233.8046506503001,   2.047992259298271
                   2,   24.94863579964217,   18.40859380771309,   293.0306779548895,   285.0836635883115,    7.15479917474904
